nan,"
                        3513 DD Utrecht (Pijlsweerd-Zuid)
        ","
                    €1,695 per month
                ",67 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/70a6fd34/jongeneelwerf"">Apartment Jongeneelwerf</a>"
nan,"
                        3583 AD Utrecht (Rubenslaan en omgeving)
        ","
                    €1,550 per month
                ",68 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/3cfc102c/adriaen-van-ostadelaan"">Apartment Adriaen van Ostadelaan</a>"
nan,"
                        3531 GC Utrecht (Lombok-West)
        ","
                    €1,350 per month
                ",75 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/75b0506b/daendelsstraat"">Apartment Daendelsstraat 33 A</a>"
nan,"
                        3562 TM Utrecht (Zamenhofdreef en omgeving)
        ","
                    €1,325 per month
                ",81 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/36ea54d3/rhodosdreef"">Apartment Rhodosdreef</a>"
nan,"
                        3552 CB Utrecht (Ondiep)
        ","
                    €1,499 per month
                ",55 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/45533a93/amandelstraat"">Apartment Amandelstraat</a>"
nan,"
                        3513 EP Utrecht (Pijlsweerd-Noord)
        ","
                    €1,750 per month
                ",89 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/0e2aa571/oudenoord"">Apartment Oudenoord</a>"
nan,"
                        3564 AB Utrecht (Zambesidreef en omgeving)
        ","
                    €1,350 per month
                ",93 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/956cadab/tafelbergdreef"">Apartment Tafelbergdreef</a>"
nan,"
                        3562 XS Utrecht (Zamenhofdreef en omgeving)
        ","
                    €1,350 per month
                ",90 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/a306a0a0/einsteindreef"">Apartment Einsteindreef</a>"
nan,"
                        3511 BD Utrecht (Hoog-Catharijne NS en Jaarbeurs)
        ","
                    €1,595 per month
                ",90 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/f5a05add/vredenburg"">Apartment Vredenburg</a>"
nan,"
                        3527 VB Utrecht (Transwijk-Noord)
        ","
                    €1,195 per month
                ",67 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/31822b56/van-eysingalaan"">Apartment Van Eysingalaan</a>"
nan,"
                        3527 KH Utrecht (Transwijk-Noord)
        ","
                    €1,395 per month
                ",81 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/801896a6/telderslaan"">Apartment Telderslaan 54</a>"
nan,"
                        3527 HJ Utrecht (Kanaleneiland-Noord)
        ","
                    €1,050 per month
                ",74 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/39b39596/eisenhowerlaan"">Apartment Eisenhowerlaan 110</a>"
nan,"
                        3513 BP Utrecht (Pijlsweerd-Zuid)
        ","
                    €1,650 per month
                ",65 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/house-for-rent/utrecht/f5c10679/singelstraat"">House Singelstraat</a>"
